Country_Name,fertility,W15_to_44,gdp,Alcohol_Cons,pml,Guaranteed,unem,Density,urbanization,Mean_BMI_women,Mean_BMI_men,Access_Degree,Social_Support,Freedom_of_choices,Age_at_1st_Child,Divorce_Percent
Mongolia,2.895,46.74416824,4121.732435,7.4,4,1,6.011000156,2.040608667,68.445,26.76993285,26.05091403,4,1.531,0.317,20.5,32.35
Northern Mariana Islands,2.7,44.78260962,23258.67586,2.113835896,0,1,10,123.6565217,91.618,23.60315367,22.89963784,2,,,,
Mozambique,4.852,43.08145483,498.9572202,2.4,1,0,3.240999937,37.50853531,35.988,23.49925099,22.06723557,4,0.986,0.494,,
Mauritania,4.561,45.01622037,1188.834588,0,2,1,9.548000336,4.272163578,53.672,26.75406167,23.36943897,0,1.167,0.066,,
Mauritius,1.41,43.69680374,11238.69039,3.6,1,0,6.673999786,623.3019704,40.793,26.06693249,24.67017349,2,1.402,0.498,,17.07
Malawi,4.209,44.55159511,389.3980332,3.7,1,1,5.652999878,192.4407616,16.937,23.26532312,22.59813348,1,0.56,0.443,,
Malaysia,2.001,49.87529261,11373.233,0.9,1,0,3.323999882,95.96282149,76.036,26.30422774,25.40068289,2,1.171,0.508,27.8,25
Namibia,3.396,47.09912699,5931.453886,9.8,1,1,20.27300072,2.973745582,50.032,25.54331027,23.05884274,2,1.313,0.401,21.5,
New Caledonia,1.97,44.22053451,15000,7,3,0,12.80000019,15.53938731,70.683,27.07650928,25.81026423,4,,,,
Niger,6.913,39.05613615,413.980305,0.5,2,1,0.474999994,17.71765059,16.425,22.38324661,21.45848169,2,0.774,0.318,,
Nigeria,5.387,42.84982608,2028.18197,13.4,1,0,8.095999718,215.064989,50.344,24.03240199,22.64855815,1,1.111,0.426,,
Nicaragua,2.404,48.67597629,2020.547028,5.2,1,1,6.836999893,53.72704836,58.522,28.13943727,26.67507287,0,1.325,0.435,19.2,17.78
Netherlands,1.59,35.88765741,53022.19139,8.7,2,1,3.196000099,511.4759276,91.49,25.25583137,26.1427578,4,1.522,0.557,29.8,52.63
Norway,1.56,38.87104919,81734.46557,7.5,3,0,3.345999956,14.54829163,82.248,26.26415039,27.43953645,4,1.582,0.603,29.3,42.22
Nepal,1.917,51.36911126,1033.912431,2,1,0,1.406999946,195.9391071,19.74,22.54971901,22.62258358,4,1.226,0.439,20.8,1
Nauru,2.76,44.78260962,9888.893597,6,0,1,23,635.2,100,32.94599814,32.28321941,2,,,,
New Zealand,1.71,38.68271166,42330.9064,10.7,2,1,4.068999767,18.38517337,86.538,28.1097167,28.29108535,2,1.557,0.585,27.8,41.67
Oman,2.888,53.1064064,16415.15728,0.8,1,0,2.671000004,15.6041454,84.539,26.45759051,26.52521415,1,,,,
Pakistan,3.51,47.23658833,1482.403063,0.3,1,0,4.453000069,275.2893187,36.666,24.80713807,23.41747955,2,0.886,0.313,23.6,
Panama,2.461,45.1008452,15575.07255,7.9,2,1,3.90199995,56.18607748,67.709,27.84507405,26.33225151,1,1.442,0.516,,27.03
Peru,2.254,46.67106925,6941.235848,6.3,1,1,3.309999943,24.99160625,77.907,27.27829945,26.3662965,2,1.274,0.455,22.2,18
Philippines,2.576,46.86642198,3102.713363,6.6,2,0,2.150000095,357.6883053,46.907,23.60315367,22.89963784,0,1.293,0.558,22.8,
Palau,2.2,44.78260962,15859.43486,7.9,0,0,2,38.92826087,79.93,29.71899666,29.63516593,0,,,,
Papua New Guinea,3.564,46.66955078,2730.274799,1.2,0,0,2.459000111,19.00436338,13.169,26.00865594,25.39883144,1,,,21.3,
Poland,1.46,38.85245174,15422.45347,11.6,4,1,3.473999977,124.0234822,60.058,26.15003733,27.63955019,2,1.438,0.483,27.8,33.33
Puerto Rico,1.035,35.60377401,31651.34815,5.4,1,1,8.187000275,360.2201804,93.578,28.67183508,28.46981257,4,,,,68.42
Portugal,1.42,34.9669456,23403.21764,12.3,3,1,6.334000111,112.2619412,65.211,25.30196049,26.27238812,4,1.431,0.508,29.6,70.97
Paraguay,2.429,48.6709057,5821.814323,7.2,1,1,4.809000015,17.50835892,61.585,27.13007968,26.707868,1,1.475,0.514,22.9,5
French Polynesia,1.941,45.44432357,15000,3.1,3,1,12.09599972,75.86857923,61.834,29.55761733,29.66396429,4,,,,
Qatar,1.866,57.67742276,68793.78444,2,1,0,0.090999998,239.5931955,99.135,30.37723605,28.93386095,2,1.313,0.555,,33.33
Romania,1.76,36.30624432,12306.10975,12.7,4,1,3.976000071,84.60598487,53.998,27.02751136,27.3277675,4,1.232,0.462,27.1,22.06
Russia,1.57,37.736928,11288.87845,11.7,4,1,4.585000038,8.822079555,74.433,26.69187846,25.98863335,4,1.452,0.334,25.2,52.17
Rwanda,4.044,46.26870252,772.9444599,9,1,1,1.029999971,498.6598703,17.211,22.75714568,21.28077014,3,0.711,0.555,,
Saudi Arabia,2.319,52.71336649,23338.96346,0.2,1,0,5.927000046,15.67665431,83.844,29.50637747,28.13973836,2,1.357,0.439,22,21.15
Sudan,4.407,44.46762629,977.2736357,0.5,1,0,16.53499985,22,34.642,26.12280796,23.29135867,1,,,,
Senegal,4.625,44.09716798,1521.953554,0.7,2,1,6.604000092,82.34747832,47.192,24.13324951,21.90378795,0,1.134,0.292,,
Singapore,1.14,43.41802488,64581.94402,2,1,0,4.109000206,7952.998418,100,23.14285847,24.4019799,4,1.463,0.556,30.5,27.94
Solomon Islands,4.403,44.56683982,2137.690695,1.4,1,0,0.575999975,23.32468739,23.749,27.07650928,25.81026423,1,,,,
Sierra Leone,4.263,44.95828761,533.9911843,5.7,1,0,4.427999973,105.987171,42.055,23.58342185,21.9114498,0,0.841,0.309,,
El Salvador,2.039,47.5491392,4058.252439,3.8,1,1,4.110000134,309.8814672,72.023,28.50102418,26.97990172,0,1.242,0.43,20.8,22.86
San Marino,1.2,32.77292363,48494.55141,7.5,3,1,8,563.0833333,97.226,24.85762136,26.64890335,0,,,32,40.98
Somalia,6.072,41.22216986,314.5441657,0,2,1,11.35099983,23.9234769,44.971,23.96891503,22.54632092,1,0.698,0.559,,
Serbia,1.49,38.17610399,7246.191986,11.1,4,0,12.68599987,79.8376858,56.092,25.73872813,26.78923098,4,1.383,0.282,28.4,25.49
South Sudan,4.696,44.13193035,1119.651332,0.5,1,0,12.24400043,20,19.615,21.11970671,20.11043961,1,0.575,0.01,,
Sao Tome and Principe,4.321,43.13394475,2001.140902,6.8,1,0,13.36900043,219.8208333,72.803,25.76122035,23.9792431,4,,,,
Suriname,2.418,44.83245101,6234.044922,5.1,0,0,7.334000111,3.69225,66.06,27.91742678,25.49760616,0,,,,30.95
Slovakia,1.54,39.94037481,19443.56246,11.5,4,1,5.56099987,113.2855865,53.726,25.72590086,27.54900625,4,1.504,0.334,27.8,30.91
Slovenia,1.6,34.84640517,26041.81897,12.6,4,0,4.195000172,102.9636605,54.541,26.73878467,26.78385887,4,1.523,0.564,29.4,37.5
Sweden,1.76,36.59093793,54651.08537,9.2,4,1,6.475999832,24.98149812,87.431,25.45995973,26.86405077,4,1.487,0.574,29.3,44.44
Eswatini,2.99,48.98811408,4145.974112,9.9,1,1,22.08300018,66.05761628,23.799,29.19240368,24.61943732,2,1.149,0.313,,
Seychelles,2.41,42.12442582,16433.93529,12,2,0,3,210.3521739,56.691,28.23789445,25.68074012,2,,,,10.92
Turks and Caicos Islands,1.7,45.69773232,27142.2278,6.814136378,2,1,7,39.64736842,93.098,29.0596084,27.28640266,2,,,,
Chad,5.747,41.96415533,728.3432354,1.6,2,1,1.891000032,12.29173364,23.059,21.97868164,22.05057441,2,0.766,0.174,,
Togo,4.32,44.7339356,678.9556381,3.1,2,1,2.038000107,145.0467733,41.702,24.64166822,22.58918749,2,0.572,0.293,,
Thailand,1.525,41.00265405,7273.563207,8.3,1,0,0.754000008,135.8972068,49.949,25.11073257,24.00077018,2,1.409,0.557,23.3,25.45
Tajikistan,3.585,46.07746088,826.6215305,3.3,4,1,11.0170002,65.57271417,27.134,26.49672721,26.00734586,4,1.098,0.389,23.2,10.37
Turkmenistan,2.786,46.84334239,6966.635411,5.4,4,1,3.913000107,12.45059477,51.593,26.80303559,26.68355896,4,1.538,0.394,24.6,5
Timor-Leste,4.023,44.9334339,1237.102682,2.1,1,1,4.547999859,85.27047747,30.578,21.37075683,21.35808968,1,,,,
Tonga,3.556,43.73279572,4364.015561,1.5,0,1,1.116999984,143.3291667,23.131,34.00861159,30.72340166,0,,,24.9,16.9
Trinidad and Tobago,1.725,43.96172023,17129.91309,8.4,2,1,2.686000109,270.9274854,53.184,28.88155719,26.77531848,2,,,,34.92
Tunisia,2.197,45.37056165,3447.50791,1.9,1,0,16.02199936,74.44132338,68.945,27.30753368,25.72641503,4,1,0.167,,
Turkey,2.069,45.54975912,9370.176344,2,2,0,13.48999977,106.9601289,75.143,28.94223386,27.27430057,4,1.36,0.195,22.3,21.33
Tuvalu,2.93,44.78260962,3700.710677,1.7,1,0,7,383.6,62.387,31.87132991,30.23321051,1,,,,
Tanzania,4.892,43.38459335,1060.994615,9.4,1,1,1.980000019,63.5790788,33.776,24.15816268,22.4032439,1,0.885,0.417,,
Uganda,4.955,43.53415704,642.7767443,9.5,1,1,1.843000054,213.0617345,23.774,23.34475139,21.61129409,1,1.069,0.356,,
Ukraine,1.301,37.42438728,3095.173581,8.6,4,1,8.881999969,77.02966735,69.352,26.40652804,27.08648953,4,1.39,0.178,25.6,41.79
Uruguay,1.973,40.44453388,17277.97011,10.8,2,0,8.730999947,19.70802765,95.334,27.55825768,27.52969676,4,1.465,0.523,,
